"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"13",-3.67343,40.41934,76,"Entire home/apt",4,24,9,1,1,0.35,2,4,15,45,75,"t",2.6,5.9,5.3,4.33073334028633,3,2,1,1,3
"14",-3.67958,40.40349,52,"Entire home/apt",1,285,9,4,1,4.34,2,4,0,0,0,"f",2.5,7.6,4,3.95124371858143,3,2,2,3,4
"15",-3.678,40.41986,73,"Entire home/apt",2,17,9,1,1,0.33,2,4,0,0,0,"f",2.2,5.8,5.1,4.29045944114839,3,1,1,3,2
"16",-3.67453,40.42088,133,"Entire home/apt",2,81,9,1,4,1.29,6,6,0,0,0,"f",2.5,5.7,5.4,4.89034912822175,2,2,2,3,5
"17",-3.67593,40.42056,95,"Entire home/apt",2,76,10,1,2,1.2,3,4,0,0,0,"f",2.4,5.7,5.3,4.55387689160054,3,4,1,1,5
"18",-3.67356,40.40581,50,"Entire home/apt",1,5,9,1,1,0.08,1,2,0,0,0,"t",2.8,7.4,4.6,3.91202300542815,4,3,2,3,2
"19",-3.68162,40.4085,59,"Entire home/apt",2,7,8,1,2,0.12,2,2,0,0,0,"f",2.1,7.1,4.1,4.07753744390572,1,1,2,1,4
"20",-3.67737,40.41755,94,"Entire home/apt",3,47,10,1,1,0.76,1,2,0,0,0,"f",2.2,6.1,5,4.54329478227,2,2,2,3,1
"21",-3.67623,40.40494,43,"Entire home/apt",3,217,10,3,1,3.6,2,4,0,13,43,"f",2.6,7.5,4.4,3.76120011569356,3,2,1,6,3
"22",-3.67746,40.42143,121,"Entire home/apt",2,65,7,41,2,1.12,3,6,0,1,1,"t",2.3,5.6,5.2,4.79579054559674,2,2,2,5,3
"23",-3.68321,40.40781,56,"Entire home/apt",1,46,9,1,1,0.85,2,4,4,4,4,"t",2,7.1,3.9,4.02535169073515,1,2,1,2,3
"24",-3.68055,40.40623,129,"Entire home/apt",3,87,9,5,1,1.48,1,4,0,14,44,"f",2.3,7.3,4.1,4.85981240436167,4,3,2,6,4
"25",-3.68261,40.40328,65,"Entire home/apt",2,89,10,1,1,1.59,1,2,0,0,0,"f",2.3,7.6,3.8,4.17438726989564,1,3,3,2,2
"26",-3.67179,40.39912,90,"Entire home/apt",1,47,9,1,2,0.83,3,4,28,58,88,"f",3.3,8.1,4.5,4.49980967033027,4,3,2,3,2
"27",-3.66873,40.40115,87,"Entire home/apt",2,29,8,9,1,1.16,1,4,6,32,62,"t",3.4,8,4.8,4.46590811865458,3,1,2,4,2
"28",-3.66927,40.40069,87,"Entire home/apt",2,2,5,9,1,0.07,1,4,6,32,62,"t",3.4,8,4.8,4.46590811865458,2,1,3,1,1
"29",-3.66932,40.40112,87,"Entire home/apt",2,3,6,9,1,0.06,1,4,6,32,62,"t",3.4,8,4.8,4.46590811865458,3,3,3,4,1
"30",-3.67001,40.40063,110,"Entire home/apt",2,11,7,9,2,0.21,4,6,6,31,61,"t",3.3,8,4.7,4.70048036579242,2,3,3,3,2
"31",-3.66985,40.40085,112,"Entire home/apt",2,11,8,9,2,0.21,3,6,6,6,6,"t",3.3,8,4.7,4.71849887129509,1,3,1,3,4
"32",-3.6696,40.40273,145,"Entire home/apt",2,12,8,9,3,0.23,4,6,16,46,48,"t",3.3,7.8,4.8,4.97673374242057,3,1,1,6,6
"33",-3.66976,40.40252,133,"Entire home/apt",2,11,8,9,2,0.22,3,6,26,37,58,"t",3.3,7.8,4.8,4.89034912822175,3,4,2,6,4
"34",-3.67494,40.40678,50,"Entire home/apt",1,1,10,2,1,0.02,1,2,0,0,0,"f",2.6,7.3,4.5,3.91202300542815,3,3,1,1,4
"35",-3.66965,40.39943,35,"Entire home/apt",2,11,10,1,2,0.2,2,3,0,0,0,"f",3.4,8.1,4.7,3.55534806148941,2,4,2,5,2
"36",-3.66945,40.40782,94,"Entire home/apt",3,114,9,1,3,2.53,3,5,0,0,0,"t",3,7.2,5,4.54329478227,1,4,2,6,4
"37",-3.6725,40.41032,140,"Entire home/apt",1,8,10,1,2,0.19,2,4,28,58,88,"f",2.7,6.9,4.9,4.9416424226093,3,3,1,1,3
